Date,Actual,Forecast
2019-06-15,2176,2545.8754851509048
2019-06-16,2516,2768.836204529598
2019-06-17,4142,3582.6914132174857
2019-06-18,4225,3716.595436788175
2019-06-19,4162,3612.4136045353534
2019-06-20,3716,3438.0823339473864
2019-06-21,3333,3135.463218799212
2019-06-22,1918,2468.7139324470877
2019-06-23,2344,2679.8138086864674
2019-06-24,3691,3423.6888301490008
2019-06-25,4035,3559.403826426974
2019-06-26,3939,3458.618827072447
2019-06-27,3738,3423.3988269605093
2019-06-28,2846,2995.6838269799214
2019-06-29,1733,2364.433826976555
2019-06-30,2184,2596.653826977139
2019-07-01,3512,3301.5438269770375
2019-07-02,3675,3447.9838269770553
2019-07-03,3831,3373.3588269770526
2019-07-04,2801,2931.918826977053
2019-07-05,2552,2796.498826977053
2019-07-06,1950,2445.1788269770527
2019-07-07,2110,2574.543826977053
2019-07-08,4303,3506.2788269770526
2019-07-09,3883,3445.8138269770525
2019-07-10,4244,3479.203826977053
2019-07-11,3765,3389.5638269770525
2019-07-12,3286,3158.5088269770526
2019-07-13,1851,2445.2188269770527
2019-07-14,2580,2748.0688269770526
2019-07-15,4140,3583.3038269770527
2019-07-16,4076,3513.293826977053
2019-07-17,4141,3602.4238269770526
2019-07-18,3898,3550.458826977053
2019-07-19,3027,2997.1088269770526
2019-07-20,1831,2415.8188269770526
2019-07-21,2282,2678.918826977053
2019-07-22,4138,3580.8888269770528
2019-07-23,4049,3602.9888269770527
2019-07-24,4272,3634.2338269770526
2019-07-25,4089,3569.9688269770527
2019-07-26,3277,3135.2188269770527
2019-07-27,1954,2438.0138269770528
2019-07-28,2111,2579.2338269770526
2019-07-29,3625,3458.5588269770524
2019-07-30,4415,3558.838826977053
2019-07-31,3854,3530.128826977053
2019-08-01,4114,3521.3238269770527
2019-08-02,3492,3143.9388269770525
2019-08-03,1849,2447.1788269770527
2019-08-04,2239,2671.8888269770528
2019-08-05,3976,3391.7288269770524
2019-08-06,4061,3563.4688269770527
2019-08-07,3702,3447.078826977053
2019-08-08,3622,3372.0688269770526
2019-08-09,3039,3000.6088269770526
2019-08-10,1848,2411.5238269770525
2019-08-11,2082,2580.3238269770527
2019-08-12,3807,3452.7838269770527
